date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-08-12,sh.688041,70.0000,73.8000,60.1000,60.1000,36.0000,119133625,7864877720.0000,59.684500,1,66.944400,165.369842,23.227305,32.724306,-1752.980033,0
2022-08-15,sh.688041,57.0000,61.1900,56.7000,56.8200,60.1000,59475630,3509521337.9600,29.796500,1,-5.457600,156.344666,21.959659,30.938354,-1657.309908,0
2022-08-16,sh.688041,56.0000,61.6600,55.0100,60.6900,56.8200,45226222,2650930792.0600,22.657800,1,6.811000,166.993273,23.455327,33.045560,-1770.188988,0
2022-08-17,sh.688041,60.3500,61.8600,56.8000,57.6400,60.6900,30965039,1814533092.2700,15.513100,1,-5.025500,158.600960,22.276570,31.384842,-1681.227439,0
2022-08-18,sh.688041,57.0200,58.7900,55.5000,57.6500,57.6400,20379982,1172481798.5000,10.210100,1,0.017300,158.628476,22.280435,31.390287,-1681.519116,0
2022-08-19,sh.688041,58.0100,59.1000,54.0200,54.2600,57.6500,19856238,1121274064.8900,9.947700,1,-5.880300,149.300626,20.970276,29.544440,-1582.640542,0
2022-08-22,sh.688041,54.0000,56.9600,53.9500,56.3500,54.2600,17120114,961875912.2100,8.577000,1,3.851800,155.051425,21.778014,30.682440,-1643.601079,0
2022-08-23,sh.688041,55.9300,60.8300,55.8000,59.8700,56.3500,21665593,1282497748.0600,10.854200,1,6.246700,164.736979,23.138416,32.599072,-1746.271457,0
2022-08-24,sh.688041,59.3000,60.9600,57.2300,58.7500,59.8700,12285793,719144880.2000,6.155000,1,-1.870700,161.655212,22.705561,31.989234,-1713.603609,0
2022-08-25,sh.688041,59.0100,59.3000,54.3500,55.3000,58.7500,13214891,738634613.7500,6.620500,1,-5.872300,152.162268,21.372213,30.110718,-1612.974972,0
2022-08-26,sh.688041,54.8100,55.9400,50.0000,50.2000,55.3000,21365287,1117262543.3600,10.703700,1,-9.222400,138.129219,19.401177,27.333780,-1464.219595,0
2022-08-29,sh.688041,49.0400,51.2700,48.6900,49.0900,50.2000,11626638,577106090.0800,5.824800,1,-2.211200,135.074968,18.972187,26.729388,-1431.843424,0
2022-08-30,sh.688041,49.0200,52.7700,48.9200,51.7400,49.0900,16427156,845275466.9000,8.229800,1,5.398200,142.366650,19.996352,28.172306,-1509.137885,0
2022-08-31,sh.688041,52.0000,53.7600,50.0000,50.1800,51.7400,12120606,626793711.3300,6.072300,1,-3.015100,138.074188,19.393447,27.322890,-1463.636240,0
2022-09-01,sh.688041,57.1000,59.8000,53.8500,54.4700,50.1800,44421194,2548811140.0500,22.254500,1,8.549200,149.878458,21.051436,29.658785,-1588.765763,0
2022-09-02,sh.688041,54.9100,59.8000,54.9100,56.1000,54.4700,26976389,1543447778.8700,13.514800,1,2.992500,154.363530,21.681395,30.546316,-1636.309148,0
2022-09-05,sh.688041,55.1000,55.6200,51.2700,52.1700,56.1000,20327715,1082191561.7800,10.183900,1,-7.005300,143.549828,20.162538,28.406440,-1521.680005,0
2022-09-06,sh.688041,52.9500,53.5800,51.3400,53.3000,52.1700,12381516,649731419.8500,6.203000,1,2.166000,146.659111,20.599258,29.021722,-1554.639530,0
2022-09-07,sh.688041,53.6000,57.2900,53.3000,54.8700,53.3000,14913190,826665169.0200,7.471300,1,2.945600,150.979089,21.206027,29.876584,-1600.432852,0
2022-09-08,sh.688041,54.8600,57.2000,54.5100,56.6200,54.8700,12792981,721847521.7800,6.409100,1,3.189400,155.794351,21.882363,30.829455,-1651.476363,0
2022-09-09,sh.688041,57.0100,57.4800,54.9200,55.8000,56.6200,6704055,375469781.7000,3.358600,1,-1.448300,153.538057,21.565452,30.382966,-1627.558832,0
2022-09-13,sh.688041,56.1900,58.2200,55.5800,55.8100,55.8000,7799766,441953878.4000,3.907600,1,0.017900,153.565572,21.569316,30.388411,-1627.850509,0
2022-09-14,sh.688041,55.0000,59.4900,54.3300,59.2100,55.8100,14025063,807139020.0900,7.026400,1,6.092100,162.920938,22.883340,32.239703,-1727.020761,0
2022-09-15,sh.688041,58.5100,61.4000,55.8000,56.2000,59.2100,16768023,978247437.8500,8.400600,1,-5.083600,154.638688,21.720043,30.600766,-1639.225921,0
2022-09-16,sh.688041,55.8900,65.2000,55.6700,62.6000,56.2000,27395163,1703335363.5200,13.724600,1,11.387900,172.248788,24.193500,34.085550,-1825.899335,0
2022-09-19,sh.688041,62.6000,68.0300,62.0800,62.8700,62.6000,21933351,1416638945.3900,10.988300,1,0.431300,172.991714,24.297848,34.232565,-1833.774620,0
2022-09-20,sh.688041,63.5000,64.8800,61.0100,62.7100,62.8700,11899013,747926762.3800,5.961300,1,-0.254500,172.551461,24.236012,34.145445,-1829.107784,0
2022-09-21,sh.688041,62.5000,63.0000,60.0600,60.8100,62.7100,10193140,626149854.3200,5.106600,1,-3.029800,167.323463,23.501705,33.110899,-1773.689114,0
