date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-07-20,sh.688256,250.0000000000,295.0000000000,205.6000000000,212.4000000000,64.3900000000,24237613,5645861832.0000,77.922500,1,229.864900,-67.198140,19.997478,192.594469,-444.654616,0
2020-07-21,sh.688256,208.0000000000,285.6000000000,202.0000000000,274.0000000000,212.4000000000,17584895,4292970831.0000,56.534400,1,29.001900,-86.686866,25.797123,248.450492,-573.612829,0
2020-07-22,sh.688256,260.0000000000,284.3300000000,257.7700000000,281.0000000000,274.0000000000,12701827,3450335246.0000,40.835600,1,2.554700,-88.901494,26.456173,254.797767,-588.267171,0
2020-07-23,sh.688256,274.9200000000,297.7700000000,268.0000000000,281.5000000000,281.0000000000,9920207,2791441975.9400,31.892900,1,0.177900,-89.059682,26.503248,255.251144,-589.313910,0
2020-07-24,sh.688256,273.0000000000,276.0000000000,240.4400000000,259.3300000000,281.5000000000,11385255,2940728530.0000,36.602900,1,-7.875700,-82.045639,24.415941,235.148416,-542.901514,0
2020-07-27,sh.688256,252.2800000000,257.9000000000,227.9400000000,234.0100000000,259.3300000000,8338869,2022044467.0000,26.809000,1,-9.763600,-74.035013,22.032061,212.189414,-489.894664,0
2020-07-28,sh.688256,236.0000000000,243.8000000000,227.5000000000,238.6400000000,234.0100000000,5977562,1410915512.0000,19.217500,1,1.978600,-75.499831,22.467976,216.387684,-499.587465,0
2020-07-29,sh.688256,234.5300000000,245.7800000000,229.6600000000,241.5000000000,238.6400000000,5473260,1312286233.0000,17.596200,1,1.198500,-76.404665,22.737245,218.980999,-505.574811,0
2020-07-30,sh.688256,240.0000000000,254.9900000000,236.3600000000,243.1700000000,241.5000000000,6180875,1516837929.4300,19.871100,1,0.691500,-76.933012,22.894476,220.495278,-509.070918,0
2020-07-31,sh.688256,238.0100000000,255.5500000000,237.1000000000,249.6000000000,243.1700000000,5629413,1392176361.0000,18.098200,1,2.644200,-78.967306,23.499861,226.325703,-522.531978,0
2020-08-03,sh.688256,250.0100000000,257.8800000000,247.0100000000,249.5000000000,249.6000000000,6972166,1760964726.0000,22.415100,1,-0.040100,-78.935669,23.490446,226.235028,-522.322630,0
2020-08-04,sh.688256,250.9700000000,252.8800000000,232.9900000000,235.0000000000,249.5000000000,5908943,1424160483.0000,18.996900,1,-5.811600,-74.348225,22.125269,213.087101,-491.967207,0
2020-08-05,sh.688256,246.0000000000,246.0000000000,236.7900000000,236.9200000000,235.0000000000,4082217,985070039.2900,13.124100,1,0.817000,-74.955666,22.306038,214.828068,-495.986684,0
2020-08-06,sh.688256,233.9600000000,247.4500000000,231.8000000000,243.8300000000,236.9200000000,5013107,1211258410.3000,16.116800,1,2.916600,-77.141820,22.956615,221.093735,-510.452613,0
