date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018-01-31,sh.601838,8.3900000000,10.0700000000,8.3900000000,10.0700000000,6.9900000000,199080,1999528.0000,0.055112,1,44.062950,9.305544,1.521949,3.767907,3.607576,0
2018-02-01,sh.601838,11.0800000000,11.0800000000,11.0800000000,11.0800000000,10.0700000000,137803,1526857.0000,0.038149,1,10.029790,10.238870,1.674597,4.145820,3.969408,0
2018-02-02,sh.601838,12.1900000000,12.1900000000,12.1900000000,12.1900000000,11.0800000000,429196,5231899.0000,0.118817,1,10.018050,11.264606,1.842359,4.561150,4.367065,0
2018-02-05,sh.601838,13.4100000000,13.4100000000,13.4100000000,13.4100000000,12.1900000000,1715598,23006169.0000,0.474939,1,10.008210,12.391990,2.026746,5.017639,4.804130,0
2018-02-06,sh.601838,14.7500000000,14.7500000000,14.7500000000,14.7500000000,13.4100000000,5059394,74626062.0000,1.400621,1,9.992544,13.630265,2.229270,5.519029,5.284185,0
2018-02-07,sh.601838,16.2300000000,16.2300000000,16.2200000000,16.2300000000,14.7500000000,50002289,811537077.0000,13.842417,1,10.033900,14.997912,2.452953,6.072803,5.814395,0
2018-02-08,sh.601838,16.3300000000,16.6000000000,14.6100000000,14.7000000000,16.2300000000,182702481,2774883193.0000,50.578563,1,-9.426986,13.584061,2.221713,5.500321,5.266273,0
2018-02-09,sh.601838,13.8700000000,14.1300000000,13.2400000000,13.4400000000,14.7000000000,121384419,1659674061.0000,33.603536,1,-8.571430,12.419713,2.031281,5.028865,4.814878,0
2018-02-12,sh.601838,13.7500000000,14.5400000000,13.2100000000,14.0100000000,13.4400000000,104620358,1443553487.0000,28.962646,1,4.241076,12.946442,2.117429,5.242142,5.019080,0
2018-02-13,sh.601838,13.8800000000,14.1700000000,12.8400000000,12.8800000000,14.0100000000,104302879,1412151641.0000,28.874757,1,-8.065668,11.902225,1.946644,4.819328,4.614258,0
2018-02-14,sh.601838,12.5100000000,12.8500000000,12.2100000000,12.2300000000,12.8800000000,68537278,851441946.0000,18.973563,1,-5.046588,11.301569,1.848405,4.576117,4.381395,0
2018-02-22,sh.601838,12.4500000000,12.8800000000,12.2800000000,12.5400000000,12.2300000000,65818765,828666668.0000,18.220982,1,2.534754,11.588036,1.895257,4.692110,4.492453,0
2018-02-23,sh.601838,12.3200000000,12.6000000000,12.3200000000,12.4800000000,12.5400000000,50546152,628429729.0000,13.992978,1,-0.478472,11.532591,1.886189,4.669660,4.470958,0
2018-02-26,sh.601838,12.7000000000,13.5000000000,12.5300000000,13.2500000000,12.4800000000,96056564,1243422818.0000,26.591883,1,6.169876,12.244137,2.002565,4.957772,4.746810,0
2018-02-27,sh.601838,13.0500000000,13.1700000000,12.8000000000,12.9300000000,13.2500000000,63431235,821296616.0000,17.560028,1,-2.415092,11.948429,1.954201,4.838037,4.632170,0
2018-02-28,sh.601838,12.7500000000,12.7700000000,12.3600000000,12.6000000000,12.9300000000,59299743,745361437.0000,16.416284,1,-2.552203,11.643481,1.904326,4.714560,4.513948,0
2018-03-01,sh.601838,12.4200000000,12.7500000000,12.3800000000,12.7000000000,12.6000000000,49015644,616502299.0000,13.569278,1,0.793646,11.735889,1.919439,4.751978,4.549773,0
2018-03-02,sh.601838,12.5000000000,13.3300000000,12.4300000000,12.9300000000,12.7000000000,85878202,1113773715.0000,23.774149,1,1.811028,11.948429,1.954201,4.838037,4.632170,0
2018-03-05,sh.601838,12.8700000000,12.9800000000,12.6100000000,12.7800000000,12.9300000000,50596457,644758631.0000,14.006904,1,-1.160097,11.809816,1.931530,4.781911,4.578433,0
2018-03-06,sh.601838,12.9000000000,13.3100000000,12.8500000000,13.2700000000,12.7800000000,86475044,1132047764.0000,23.939376,1,3.834122,12.262618,2.005587,4.965255,4.753975,0
2018-03-07,sh.601838,13.8000000000,14.0000000000,12.8800000000,12.9000000000,13.2700000000,96406462,1293465607.0000,26.688747,1,-2.788250,11.920707,1.949667,4.826812,4.621423,0
2018-03-08,sh.601838,12.6300000000,12.8300000000,12.5500000000,12.7800000000,12.9000000000,56704142,720038225.0000,15.697729,1,-0.930232,11.809816,1.931530,4.781911,4.578433,0
2018-03-09,sh.601838,12.7100000000,12.9900000000,12.6700000000,12.9300000000,12.7800000000,48964232,627859431.0000,13.555046,1,1.173713,11.948429,1.954201,4.838037,4.632170,0
2018-03-12,sh.601838,12.9800000000,13.1800000000,12.8000000000,13.0500000000,12.9300000000,64281738,836254036.0000,17.795478,1,0.928073,12.059319,1.972337,4.882938,4.675160,0
2018-03-13,sh.601838,13.0000000000,13.4300000000,12.8500000000,12.8800000000,13.0500000000,63552334,832656601.0000,17.593553,1,-1.302683,11.902225,1.946644,4.819328,4.614258,0
2018-03-14,sh.601838,12.6000000000,12.7500000000,12.5500000000,12.6500000000,12.8800000000,43527696,549774686.0000,12.050019,1,-1.785718,11.689685,1.911882,4.733269,4.531860,0
2018-03-15,sh.601838,12.5100000000,12.5600000000,11.9000000000,12.0700000000,12.6500000000,56805500,693567329.0000,15.725788,1,-4.584980,11.153715,1.824223,4.516250,4.324075,0
2018-03-16,sh.601838,12.0300000000,12.1400000000,11.8400000000,11.8600000000,12.0700000000,31022232,371740682.0000,8.588060,1,-1.739851,10.959657,1.792484,4.437674,4.248843,0
2018-03-19,sh.601838,11.8100000000,11.9700000000,11.6400000000,11.9400000000,11.8600000000,26761989,316409957.0000,7.408673,1,0.674536,11.033584,1.804575,4.467607,4.277503,0
2018-03-20,sh.601838,11.7600000000,11.9500000000,11.7200000000,11.8800000000,11.9400000000,21998727,260179863.0000,6.090032,1,-0.502508,10.978139,1.795507,4.445157,4.256008,0
2018-03-21,sh.601838,11.9000000000,12.2600000000,11.8500000000,11.9300000000,11.8800000000,44150969,532573563.0000,12.222563,1,0.420877,11.024343,1.803064,4.463866,4.273921,0
2018-03-22,sh.601838,11.9200000000,11.9700000000,11.5800000000,11.6500000000,11.9300000000,33809873,396494027.0000,9.359779,1,-2.347030,10.765599,1.760745,4.359098,4.173611,0
2018-03-23,sh.601838,11.2000000000,11.2800000000,10.5000000000,10.6300000000,11.6500000000,46122816,503210592.0000,12.768440,1,-8.755361,9.823032,1.606586,3.977443,3.808196,0
