date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-10-14,sh.603816,29.5900000000,35.5100000000,29.5900000000,35.5100000000,24.6600000000,60604,2145536.0000,0.073459,1,43.998370,29.394994,12.585044,3.975166,145.553969,0
2016-10-17,sh.603816,39.0600000000,39.0600000000,39.0600000000,39.0600000000,35.5100000000,35000,1367100.0000,0.042424,1,9.997192,32.333665,13.843194,4.372571,160.105267,0
2016-10-18,sh.603816,42.9700000000,42.9700000000,42.9700000000,42.9700000000,39.0600000000,24800,1065656.0000,0.030061,1,10.010240,35.570343,15.228931,4.810276,176.132190,0
2016-10-19,sh.603816,47.2700000000,47.2700000000,47.2700000000,47.2700000000,42.9700000000,53900,2547853.0000,0.065333,1,10.006980,39.129860,16.752887,5.291639,193.757706,0
2016-10-20,sh.603816,52.0000000000,52.0000000000,52.0000000000,52.0000000000,47.2700000000,168978,8786856.0000,0.204822,1,10.006350,43.045330,18.429239,5.821139,213.145773,0
2016-10-21,sh.603816,57.2000000000,57.2000000000,52.0300000000,56.0100000000,52.0000000000,43906079,2405673936.0000,53.219490,1,7.711535,46.364787,19.850417,6.270038,229.582591,0
2016-10-24,sh.603816,54.4500000000,57.3300000000,53.1300000000,55.1900000000,56.0100000000,28819917,1577147520.0000,34.933233,1,-1.464024,45.685995,19.559802,6.178243,226.221446,0
2016-10-25,sh.603816,54.4000000000,57.5000000000,53.7300000000,56.0100000000,55.1900000000,24259040,1357530704.0000,29.404897,1,1.485776,46.364787,19.850417,6.270038,229.582591,0
2016-10-26,sh.603816,56.0300000000,57.2600000000,55.0400000000,56.1300000000,56.0100000000,15741148,885491040.0000,19.080179,1,0.214252,46.464122,19.892946,6.283472,230.074466,0
2016-10-27,sh.603816,55.8000000000,59.9900000000,55.3800000000,58.4800000000,56.1300000000,21189210,1232322576.0000,25.683891,1,4.186707,48.409440,20.725805,6.546542,239.707015,0
2016-10-28,sh.603816,57.7800000000,59.8000000000,57.0100000000,58.2400000000,58.4800000000,19529886,1143601280.0000,23.672589,1,-0.410393,48.210769,20.640747,6.519675,238.723266,0
2016-10-31,sh.603816,57.8000000000,57.9700000000,55.0000000000,55.0600000000,58.2400000000,14891352,836199136.0000,18.050124,1,-5.460165,39.604102,17.180278,5.202233,77.162437,0
2016-11-01,sh.603816,54.7300000000,59.7900000000,54.7300000000,57.8200000000,55.0600000000,19819675,1147616336.0000,24.023848,1,5.012711,41.589342,18.041476,5.463006,81.030369,0
2016-11-02,sh.603816,57.2500000000,63.6000000000,57.0100000000,62.7700000000,57.8200000000,31456748,1918551760.0000,38.129392,1,8.561053,45.149827,19.586016,5.930697,87.967421,0
2016-11-03,sh.603816,62.6100000000,68.9000000000,60.3800000000,60.8400000000,62.7700000000,34499650,2234299776.0000,41.817758,1,-3.074718,43.761597,18.983802,5.748345,85.262671,0
2016-11-04,sh.603816,60.9100000000,63.5000000000,59.7100000000,61.1600000000,60.8400000000,23837404,1467786944.0000,28.893823,1,0.525969,43.991770,19.083651,5.778579,85.711127,0
2016-11-07,sh.603816,61.4600000000,61.6800000000,59.0800000000,59.5300000000,61.1600000000,13412241,802818160.0000,16.257262,1,-2.665142,42.819328,18.575045,5.624572,83.426805,0
2016-11-08,sh.603816,59.6500000000,60.8000000000,58.9000000000,60.3200000000,59.5300000000,10207014,612945696.0000,12.372138,1,1.327064,43.387567,18.821547,5.699214,84.533931,0
2016-11-09,sh.603816,59.9500000000,62.4600000000,59.1100000000,61.4300000000,60.3200000000,15692535,954731088.0000,19.021255,1,1.840187,44.185978,19.167898,5.804090,86.089512,0
2016-11-10,sh.603816,61.7200000000,66.4200000000,60.9000000000,65.1700000000,61.4300000000,22596816,1445349840.0000,27.390080,1,6.088227,46.876123,20.334884,6.157456,91.330840,0
2016-11-11,sh.603816,64.5200000000,68.5000000000,63.4800000000,63.8900000000,65.1700000000,21627730,1418888864.0000,26.215430,1,-1.964092,45.955432,19.935488,6.036518,89.537016,0
2016-11-14,sh.603816,62.9000000000,63.3900000000,61.1000000000,62.0500000000,63.8900000000,12434343,772517680.0000,15.071931,1,-2.879950,44.631938,19.361356,5.862669,86.958395,0
2016-11-15,sh.603816,62.1900000000,62.9900000000,61.6600000000,62.2400000000,62.0500000000,6993857,434687264.0000,8.477402,1,0.306209,44.768603,19.420641,5.880621,87.224666,0
2016-11-16,sh.603816,62.4000000000,62.8000000000,59.9100000000,60.0900000000,62.2400000000,9586106,581533200.0000,11.619522,1,-3.454373,43.222130,18.749780,5.677483,84.211603,0
2016-11-17,sh.603816,60.0000000000,60.6600000000,59.2300000000,59.9200000000,60.0900000000,5332988,320505120.0000,6.464228,1,-0.282912,43.099851,18.696736,5.661420,83.973361,0
2016-11-18,sh.603816,60.1700000000,61.3900000000,59.8200000000,60.1600000000,59.9200000000,6398094,387456208.0000,7.755265,1,0.400537,43.272480,18.771622,5.684096,84.309703,0
2016-11-21,sh.603816,59.9000000000,60.4600000000,58.0100000000,59.7800000000,60.1600000000,8388496,497006064.0000,10.167874,1,-0.631651,42.999150,18.653052,5.648193,83.777161,0
2016-11-22,sh.603816,59.8000000000,60.6000000000,59.5300000000,60.2000000000,59.7800000000,7109188,427150496.0000,8.617198,1,0.702579,43.301252,18.784104,5.687876,84.365760,0
2016-11-23,sh.603816,60.1900000000,60.5000000000,58.3700000000,58.6000000000,60.2000000000,7442025,442671232.0000,9.020636,1,-2.657811,42.150388,18.284858,5.536703,82.123480,0
2016-11-24,sh.603816,58.3000000000,58.8300000000,56.5200000000,56.7500000000,58.6000000000,7701611,442331136.0000,9.335286,1,-3.156994,40.819702,17.707606,5.361909,79.530845,0
2016-11-25,sh.603816,56.7400000000,57.2000000000,54.8100000000,56.9200000000,56.7500000000,5466347,306612832.0000,6.625875,1,0.299556,40.941981,17.760651,5.377972,79.769087,0
2016-11-28,sh.603816,57.0000000000,57.2800000000,55.6100000000,55.6500000000,56.9200000000,4055235,227459128.0000,4.915436,1,-2.231196,40.028483,17.364375,5.257978,77.989278,0
2016-11-29,sh.603816,55.3500000000,56.4500000000,54.9000000000,54.9900000000,55.6500000000,4683404,260277043.0000,5.676853,1,-1.185984,39.553751,17.158436,5.195619,77.064338,0
2016-11-30,sh.603816,54.9000000000,55.2900000000,54.3000000000,54.5400000000,54.9900000000,3441347,188374267.0000,4.171330,1,-0.818332,39.230071,17.018023,5.153102,76.433697,0
